account_id,account_type,risk_category,jurisdiction,onboard_date,declared_annual_revenue,expected_monthly_volume,has_pep_link,has_adverse_media,is_high_risk_industry,assigned_typology
ACC000040,retail,low_risk,low,2021-03-21,16395.57,1773.27,0,0,0,
ACC000041,retail,low_risk,low,2018-12-17,3626.59,310.81,0,0,0,
ACC000042,retail,low_risk,low,2015-11-16,16954.25,1318.64,0,0,0,
ACC000043,retail,low_risk,low,2021-01-28,7070.38,650.89,0,0,0,
ACC000044,corporate,medium_risk,low,2018-05-10,2726782.57,231414.0,0,0,0,
ACC000045,retail,low_risk,medium,2016-10-24,23301.15,1566.01,0,0,0,
ACC000046,cash_intensive,high_risk,very_high,2017-01-24,342968.16,33084.24,1,0,1,
ACC000047,sme,low_risk,low,2018-06-23,94927.91,4987.38,0,0,0,
ACC000048,sme,high_risk,low,2016-05-08,1392009.74,92792.14,0,0,0,
ACC000049,retail,low_risk,low,2021-11-30,15435.6,810.26,0,0,0,
ACC000050,retail,low_risk,low,2022-11-21,13301.09,1023.92,0,0,0,
ACC000051,retail,low_risk,low,2018-12-28,3554.23,186.88,0,0,0,
ACC000052,corporate,medium_risk,low,2017-08-02,2408809.19,233926.26,0,0,0,
ACC000053,sme,low_risk,low,2016-08-28,140501.01,9876.97,0,0,0,
ACC000054,retail,low_risk,low,2015-07-02,11054.53,1116.47,0,0,0,
ACC000055,retail,low_risk,low,2016-03-26,11828.55,851.63,0,0,0,
ACC000056,retail,low_risk,low,2015-11-09,14357.86,1395.55,0,0,0,
ACC000057,retail,low_risk,low,2020-10-04,18337.52,2103.35,0,0,0,
ACC000058,sme,medium_risk,low,2020-11-23,506811.89,49983.27,0,0,0,
ACC000059,professional,medium_risk,low,2014-12-16,370937.98,40897.64,0,0,0,
ACC000060,retail,low_risk,low,2019-05-31,22757.05,1550.06,0,0,0,
ACC000061,cash_intensive,medium_risk,low,2019-12-31,24767.49,1426.11,0,0,1,
ACC000062,retail,medium_risk,high,2022-02-27,10792.0,1186.17,0,0,0,
ACC000063,sme,high_risk,medium,2020-12-11,314617.03,18538.61,0,0,0,
ACC000064,sme,low_risk,low,2013-09-18,146944.88,13940.32,0,0,0,
ACC000065,retail,low_risk,low,2018-07-21,39017.88,3313.0,0,0,0,
ACC000066,retail,medium_risk,medium,2022-05-04,11590.3,609.7,0,0,0,
ACC000067,retail,low_risk,low,2021-06-19,42202.24,3179.59,0,0,0,
ACC000068,retail,low_risk,low,2019-06-05,5443.36,507.34,0,0,0,
ACC000069,retail,medium_risk,high,2021-10-30,15570.02,1773.05,0,0,0,
ACC000070,corporate,low_risk,low,2019-06-27,94978.46,10042.33,0,0,0,
ACC000071,sme,high_risk,low,2014-09-30,369877.67,37405.85,0,0,0,
ACC000072,retail,low_risk,low,2014-05-03,20831.97,1591.49,0,0,0,
ACC000073,sme,active_ml,very_high,2019-12-28,186381.68,8336.18,0,0,0,trade_based
ACC000074,retail,low_risk,low,2014-02-23,28824.85,1302.47,0,0,0,
ACC000075,retail,low_risk,low,2020-09-26,13780.02,831.41,0,0,0,
ACC000076,shell,medium_risk,low,2016-09-13,323462.4,22673.25,0,0,1,
ACC000077,retail,medium_risk,medium,2013-08-27,5370.2,622.81,0,0,0,
ACC000078,retail,low_risk,medium,2017-02-03,9908.39,814.51,0,0,0,
ACC000079,corporate,active_ml,very_high,2018-03-17,412900.09,41141.58,0,1,0,structuring
ACC000080,retail,low_risk,low,2018-06-07,5758.76,576.76,0,0,0,
ACC000081,retail,low_risk,medium,2015-12-05,16829.78,1575.36,0,0,0,
ACC000082,sme,medium_risk,low,2021-12-02,480932.02,31186.78,0,0,0,
ACC000083,retail,active_ml,very_high,2020-09-25,10488.08,916.08,0,0,0,shell_company
ACC000084,sme,low_risk,low,2018-07-29,311132.08,19438.36,0,0,0,
ACC000085,shell,high_risk,low,2014-11-18,147483.69,13932.43,0,0,0,
ACC000086,sme,low_risk,low,2013-10-29,339409.42,35030.77,0,0,0,
ACC000087,retail,low_risk,low,2017-09-10,12151.74,514.53,0,0,0,
ACC000088,retail,low_risk,low,2017-05-07,11979.21,1483.52,0,0,0,
ACC000089,sme,medium_risk,low,2014-09-04,266667.96,21176.49,0,0,0,
ACC000090,shell,medium_risk,low,2020-03-24,318401.7,33065.36,0,0,1,
ACC000091,sme,low_risk,low,2019-06-07,73268.43,4503.3,0,0,0,
ACC000092,sme,medium_risk,medium,2022-02-17,312924.38,33800.62,0,0,0,
ACC000093,retail,low_risk,low,2016-04-21,15973.1,1666.77,0,0,0,
ACC000094,retail,low_risk,low,2020-05-29,10446.23,464.31,0,0,0,
ACC000095,sme,low_risk,low,2020-09-17,271132.66,17567.21,0,0,0,
ACC000096,retail,low_risk,low,2021-09-28,6616.5,615.34,0,0,0,
ACC000097,professional,high_risk,high,2015-12-15,277514.89,31176.74,0,0,0,
ACC000098,sme,low_risk,low,2016-07-15,71771.89,8176.91,0,0,0,
ACC000099,retail,low_risk,low,2014-08-10,106585.82,10370.1,0,0,0,
ACC000100,retail,low_risk,medium,2015-03-11,2230.63,230.32,0,0,0,
ACC000101,sme,low_risk,low,2018-02-14,185702.54,19392.63,0,0,0,
ACC000102,shell,active_ml,low,2016-10-07,560466.48,51554.48,1,0,0,trade_based
ACC000103,sme,medium_risk,high,2015-07-22,43851.89,2147.55,0,0,0,
ACC000104,retail,low_risk,low,2020-10-25,15662.22,1736.05,0,0,0,
ACC000105,retail,low_risk,low,2015-09-05,6364.6,620.68,0,0,0,
ACC000106,retail,low_risk,medium,2021-07-05,38062.39,4658.66,0,0,0,
ACC000107,sme,medium_risk,low,2021-04-15,56736.49,4993.31,0,0,0,
ACC000108,retail,low_risk,low,2015-05-31,16296.4,938.52,0,0,0,
ACC000109,corporate,medium_risk,medium,2017-06-24,2847232.94,159439.6,0,0,0,
ACC000110,corporate,high_risk,medium,2013-08-28,1541843.42,102962.5,1,0,0,
ACC000111,corporate,medium_risk,low,2022-02-24,2288993.66,248967.17,0,0,0,
ACC000112,retail,medium_risk,low,2016-11-20,5745.77,536.24,0,0,0,
ACC000113,retail,medium_risk,high,2021-01-31,19003.23,1814.48,0,0,0,
ACC000114,retail,medium_risk,low,2021-10-16,10596.95,859.67,0,0,0,
ACC000115,sme,low_risk,low,2020-08-22,198308.71,23449.66,0,0,0,
ACC000116,shell,high_risk,high,2018-04-02,64309.63,3609.55,0,0,0,
ACC000117,retail,low_risk,low,2020-01-22,10108.67,867.54,0,0,0,
ACC000118,retail,medium_risk,low,2022-08-22,29310.92,1326.03,0,0,0,
ACC000119,retail,low_risk,low,2019-08-27,20544.88,2521.83,0,0,0,
ACC000120,retail,low_risk,low,2014-03-18,5932.32,372.43,0,0,0,
ACC000121,retail,low_risk,low,2013-10-05,43284.94,5253.6,0,0,0,
ACC000122,sme,low_risk,low,2022-05-21,282603.55,14093.8,0,0,0,
ACC000123,corporate,low_risk,low,2015-08-25,3280901.04,290950.37,0,0,0,
ACC000124,corporate,medium_risk,medium,2017-12-26,327748.21,24211.31,0,0,0,
ACC000125,cash_intensive,medium_risk,low,2019-01-05,370792.57,17624.11,0,0,1,
ACC000126,retail,low_risk,low,2014-05-16,35800.96,1566.77,0,0,0,
ACC000127,corporate,medium_risk,low,2016-02-16,2415383.78,212514.75,0,0,0,
ACC000128,sme,medium_risk,low,2014-07-03,132663.66,11763.38,0,0,0,
ACC000129,professional,medium_risk,low,2018-04-28,129176.59,12635.47,0,0,0,
ACC000130,retail,medium_risk,low,2021-07-29,2179.28,93.2,0,0,0,
ACC000131,retail,low_risk,low,2018-02-16,5533.69,551.88,0,0,0,
ACC000132,corporate,medium_risk,low,2019-04-06,3813957.0,283069.92,0,0,0,
ACC000133,retail,low_risk,low,2020-10-18,22245.1,1711.58,0,0,0,
ACC000134,retail,low_risk,low,2018-07-15,22187.02,2291.6,0,0,0,
ACC000135,retail,medium_risk,low,2020-05-04,11412.56,550.72,0,0,0,
ACC000136,retail,medium_risk,low,2022-08-21,9968.58,611.44,0,0,0,
ACC000137,corporate,low_risk,low,2015-03-11,828487.09,77664.4,0,0,0,
ACC000138,shell,active_ml,medium,2017-11-10,3409344.59,207721.37,0,0,1,cash_intensive
ACC000139,sme,active_ml,high,2016-07-30,31807.09,2997.96,1,0,0,real_estate
ACC000140,retail,low_risk,low,2020-12-21,9328.05,540.71,0,0,0,
ACC000141,retail,low_risk,low,2015-07-14,11051.56,648.16,0,0,0,
ACC000142,retail,low_risk,medium,2015-10-12,21201.11,2142.1,0,0,0,
ACC000143,retail,low_risk,low,2015-09-17,24063.11,2710.49,0,0,0,
ACC000144,retail,medium_risk,medium,2020-11-29,16532.2,843.7,0,0,0,
ACC000145,sme,low_risk,low,2016-06-05,119518.24,6758.62,0,0,0,
ACC000146,retail,low_risk,low,2021-11-09,5198.21,278.5,0,0,1,
ACC000147,sme,high_risk,medium,2013-05-20,61621.87,6465.29,0,0,0,
ACC000148,sme,low_risk,medium,2017-11-26,106101.3,9109.93,0,0,0,
ACC000149,retail,low_risk,low,2020-02-26,31282.91,3333.89,0,0,0,
ACC000150,retail,low_risk,low,2013-08-05,9269.12,432.24,0,0,0,
ACC000151,shell,active_ml,high,2013-08-08,41402.35,4617.78,0,1,0,cross_border
ACC000152,retail,medium_risk,low,2015-01-15,12904.81,637.16,0,0,0,
ACC000153,sme,low_risk,low,2019-02-12,271727.93,22141.58,0,0,0,
ACC000154,retail,low_risk,low,2013-10-25,51915.63,6223.64,0,0,0,
ACC000155,sme,low_risk,low,2019-10-23,76135.6,7200.78,0,0,0,
ACC000156,corporate,low_risk,low,2017-05-17,1248335.55,136433.32,0,0,0,
ACC000157,sme,high_risk,very_high,2019-12-22,124467.13,13776.77,0,0,0,
ACC000158,retail,medium_risk,low,2021-04-28,14243.39,866.35,0,0,0,
ACC000159,retail,low_risk,low,2018-01-18,19844.37,1534.9,0,0,0,
ACC000160,sme,active_ml,very_high,2018-01-15,211403.89,12134.63,0,0,0,cross_border
ACC000161,sme,low_risk,low,2021-10-16,768288.4,38828.04,0,0,0,
ACC000162,retail,low_risk,low,2021-01-23,8793.26,1029.35,0,0,0,
ACC000163,retail,high_risk,very_high,2019-11-21,32996.47,3606.01,0,0,0,
ACC000164,sme,low_risk,low,2020-10-11,294516.69,28527.91,0,0,0,
ACC000165,retail,medium_risk,low,2013-05-20,7715.15,424.56,0,0,0,
ACC000166,retail,medium_risk,low,2019-05-12,8213.16,962.38,0,0,0,
ACC000167,sme,low_risk,low,2017-12-22,769150.3,37262.99,0,0,0,
ACC000168,corporate,medium_risk,medium,2015-01-12,5584302.45,577734.37,0,0,0,
ACC000169,retail,low_risk,low,2015-06-08,33413.35,2642.14,0,0,0,
ACC000170,corporate,medium_risk,low,2017-05-26,1121803.33,97166.41,0,0,0,
ACC000171,retail,low_risk,low,2018-04-08,12053.48,1389.19,0,0,0,
ACC000172,retail,low_risk,low,2016-03-28,6684.82,790.71,0,0,0,
ACC000173,retail,low_risk,low,2021-09-07,18562.93,1647.18,0,0,0,
ACC000174,professional,low_risk,medium,2016-10-07,189860.38,11730.74,0,0,0,
ACC000175,corporate,high_risk,high,2022-03-13,1281869.95,156114.34,0,0,0,
ACC000176,retail,low_risk,medium,2019-12-08,11770.3,994.05,0,0,0,
ACC000177,sme,low_risk,low,2017-02-05,780719.85,50669.73,0,0,0,
ACC000178,corporate,active_ml,very_high,2020-06-28,499016.13,23237.97,0,0,0,shell_company
ACC000179,corporate,medium_risk,low,2019-07-07,783510.54,54984.07,0,0,0,
ACC000180,sme,low_risk,low,2022-12-13,74013.56,8933.05,0,0,0,
ACC000181,shell,high_risk,medium,2021-07-16,6119668.49,608537.58,0,0,0,
ACC000182,retail,medium_risk,low,2013-05-14,5941.69,515.07,0,0,0,
ACC000183,retail,low_risk,low,2016-02-11,30561.37,1468.51,0,0,0,
ACC000184,retail,medium_risk,medium,2022-01-22,21793.81,1442.53,0,0,0,
ACC000185,sme,low_risk,low,2018-11-23,411748.58,21872.13,0,0,0,
ACC000186,retail,medium_risk,medium,2018-11-06,9296.21,780.2,0,0,0,
ACC000187,retail,low_risk,low,2020-04-05,3928.72,434.63,0,0,0,
ACC000188,retail,low_risk,low,2021-02-12,11218.09,1006.11,0,0,0,
ACC000189,shell,medium_risk,low,2018-08-11,1189156.09,104778.6,0,0,1,
ACC000190,retail,medium_risk,high,2016-12-12,28225.69,2489.25,0,0,0,
ACC000191,sme,low_risk,low,2015-11-20,234495.62,13471.55,0,0,0,
ACC000192,retail,low_risk,low,2022-05-01,10615.1,856.2,0,0,0,
ACC000193,sme,medium_risk,low,2015-12-19,121519.27,5773.45,0,0,0,
ACC000194,sme,medium_risk,medium,2022-03-29,3176806.26,246071.55,0,0,0,
ACC000195,cash_intensive,medium_risk,low,2019-08-14,91959.05,6679.34,0,0,1,
ACC000196,retail,medium_risk,high,2019-11-24,2722.0,178.35,0,0,0,
ACC000197,sme,medium_risk,low,2013-02-03,58408.43,2610.8,0,0,0,
ACC000198,corporate,medium_risk,medium,2020-09-28,3327068.73,264675.69,0,0,0,
ACC000199,cash_intensive,high_risk,medium,2013-01-19,87234.95,10499.31,0,0,1,
ACC000200,cash_intensive,high_risk,high,2019-03-15,17792.92,1514.91,0,0,1,
ACC000201,retail,medium_risk,low,2016-10-31,13632.63,1342.93,0,0,0,
ACC000202,shell,high_risk,medium,2021-03-31,198778.22,18033.44,1,0,0,
ACC000203,retail,low_risk,low,2016-11-23,47659.3,5935.03,0,0,0,
ACC000204,corporate,low_risk,low,2019-04-25,2987124.27,304315.78,0,0,0,
ACC000205,retail,low_risk,low,2015-12-08,26650.5,2053.53,0,0,0,
ACC000206,sme,high_risk,medium,2014-04-24,1091063.39,56173.31,0,0,0,
ACC000207,retail,low_risk,medium,2014-04-08,18296.19,2031.64,0,0,0,
ACC000208,retail,medium_risk,medium,2016-04-27,50826.39,4737.49,0,0,0,
ACC000209,sme,low_risk,low,2014-02-12,160830.72,16110.61,0,0,0,
ACC000210,sme,low_risk,low,2022-08-01,450077.29,32304.32,0,0,0,
ACC000211,retail,low_risk,low,2022-02-22,12926.93,1449.97,0,0,0,
ACC000212,retail,low_risk,low,2017-04-11,12949.23,842.76,0,0,0,
ACC000213,retail,low_risk,low,2016-07-31,11286.82,1212.37,0,0,0,
ACC000214,retail,medium_risk,low,2019-06-20,7307.59,578.5,0,0,0,
ACC000215,sme,low_risk,low,2017-05-08,213870.1,16980.82,0,0,0,
ACC000216,corporate,medium_risk,low,2019-06-15,1745424.53,115919.57,0,0,0,
ACC000217,sme,medium_risk,low,2014-11-09,229179.5,10256.77,0,0,0,
ACC000218,retail,low_risk,low,2013-02-23,59960.02,4591.91,0,0,0,
ACC000219,retail,medium_risk,medium,2015-10-23,13297.72,978.49,0,0,0,
ACC000220,corporate,low_risk,medium,2018-06-02,932328.6,89423.52,0,0,0,
ACC000221,retail,low_risk,low,2022-06-10,15173.97,1351.72,0,0,0,
ACC000222,retail,medium_risk,low,2015-12-16,32670.68,2192.57,0,0,0,
ACC000223,sme,low_risk,medium,2014-03-17,243594.86,28060.23,0,0,0,
ACC000224,sme,medium_risk,low,2015-12-07,43231.49,4175.66,0,0,0,
ACC000225,retail,low_risk,low,2019-10-17,6117.86,682.82,0,0,0,
ACC000226,retail,low_risk,low,2013-12-18,5025.75,370.98,0,0,0,
ACC000227,retail,low_risk,low,2016-08-14,21329.94,1401.27,0,0,0,
ACC000228,corporate,medium_risk,medium,2022-03-08,2724844.18,268760.85,0,0,0,
ACC000229,sme,medium_risk,medium,2015-05-14,130615.29,12941.51,0,0,0,
ACC000230,corporate,high_risk,high,2015-12-01,287210.66,27232.14,0,0,0,
ACC000231,retail,medium_risk,low,2018-08-04,11110.11,934.22,0,0,0,
ACC000232,sme,low_risk,low,2021-11-30,573052.39,63979.46,0,0,0,
ACC000233,sme,high_risk,low,2020-11-25,489290.15,42524.44,0,0,0,
ACC000234,retail,low_risk,low,2020-01-13,9033.39,629.11,0,0,0,
ACC000235,corporate,low_risk,low,2020-07-09,7838673.1,931729.74,0,0,0,
ACC000236,sme,high_risk,high,2015-10-07,222966.82,13955.92,0,0,0,
ACC000237,sme,low_risk,low,2016-07-11,423197.81,25023.73,0,0,0,
ACC000238,retail,low_risk,low,2019-02-15,22438.04,1492.66,0,0,0,
ACC000239,retail,medium_risk,low,2015-02-11,4882.01,533.91,0,0,0,
ACC000240,retail,low_risk,low,2022-03-28,22000.41,2269.33,0,0,0,
ACC000241,retail,medium_risk,low,2016-06-14,18220.25,1615.3,0,0,0,
ACC000242,shell,medium_risk,medium,2020-10-08,1250353.51,140854.28,0,0,1,
ACC000243,sme,active_ml,medium,2013-02-03,79238.16,8002.06,1,0,0,real_estate
ACC000244,retail,low_risk,low,2017-12-13,11628.22,814.73,0,0,0,
ACC000245,retail,low_risk,low,2014-07-04,25431.56,1836.45,0,0,0,
ACC000246,retail,medium_risk,very_high,2013-12-21,4977.87,505.85,0,0,0,
ACC000247,retail,low_risk,low,2018-09-05,27861.34,1312.97,0,0,0,
ACC000248,retail,low_risk,low,2016-09-19,18875.45,2207.56,0,0,0,
ACC000249,retail,low_risk,low,2022-05-04,4855.09,465.13,0,0,0,
ACC000250,sme,low_risk,medium,2015-09-07,133396.0,16604.79,0,0,0,
ACC000251,retail,low_risk,medium,2021-03-15,34583.57,2405.85,0,0,0,
ACC000252,corporate,medium_risk,medium,2018-04-06,2100245.82,219649.87,0,0,0,
ACC000253,professional,medium_risk,medium,2016-05-15,195636.31,8359.16,0,0,0,
ACC000254,retail,medium_risk,low,2014-05-08,11489.36,769.37,0,0,0,
ACC000255,retail,low_risk,low,2021-08-08,19276.45,1098.35,0,0,0,
ACC000256,retail,low_risk,low,2018-06-23,62186.5,6910.72,0,0,0,
ACC000257,sme,low_risk,high,2014-11-09,412813.38,26590.91,0,0,0,
ACC000258,retail,low_risk,low,2016-02-19,6014.92,730.09,0,0,0,
ACC000259,retail,medium_risk,low,2015-05-21,7016.16,669.62,0,0,0,
ACC000260,retail,low_risk,medium,2020-11-25,6303.97,274.01,0,0,0,
ACC000261,professional,medium_risk,medium,2018-07-02,333851.32,39599.75,0,0,0,
ACC000262,retail,low_risk,low,2013-07-14,3619.98,340.61,0,0,0,
ACC000263,sme,low_risk,medium,2019-07-19,288663.35,21746.53,0,0,0,
ACC000264,retail,low_risk,low,2021-08-17,13102.16,961.02,0,0,0,
ACC000265,sme,medium_risk,medium,2018-08-09,281095.26,31862.78,0,0,0,
ACC000266,retail,low_risk,low,2014-01-05,15809.38,743.45,0,0,0,
ACC000267,retail,high_risk,medium,2019-12-28,14376.54,1000.39,0,0,0,
ACC000268,retail,low_risk,medium,2020-05-28,19618.48,1011.45,0,0,0,
ACC000269,retail,low_risk,low,2018-07-23,6651.37,615.56,0,0,0,
ACC000270,retail,low_risk,low,2016-04-22,15847.88,1604.26,0,0,0,
ACC000271,retail,low_risk,low,2022-03-05,4392.84,424.45,0,0,0,
ACC000272,retail,low_risk,low,2016-05-25,18123.33,2178.86,0,0,0,
ACC000273,retail,low_risk,low,2018-02-13,18460.23,1223.41,0,0,0,
ACC000274,corporate,medium_risk,low,2016-02-13,7499202.43,823344.94,0,0,0,
ACC000275,retail,low_risk,low,2013-12-17,7635.01,770.28,0,0,0,
ACC000276,retail,medium_risk,low,2022-07-23,18369.87,785.38,0,0,0,
ACC000277,retail,low_risk,low,2016-01-20,14048.72,1182.21,0,0,0,
ACC000278,sme,medium_risk,low,2022-03-21,961904.66,103470.19,0,0,0,
ACC000279,retail,low_risk,low,2021-12-18,6894.26,583.35,0,0,0,
ACC000280,retail,low_risk,medium,2014-12-25,13431.85,1149.6,0,0,0,
ACC000281,corporate,medium_risk,low,2020-10-28,2297647.26,179539.2,0,0,0,
ACC000282,retail,low_risk,medium,2015-04-16,19700.34,2335.23,0,0,0,
ACC000283,retail,low_risk,low,2022-09-21,48322.0,5305.67,0,0,0,
ACC000284,sme,low_risk,low,2019-09-01,83196.13,4413.79,0,0,0,
ACC000285,corporate,medium_risk,low,2021-05-03,764301.23,88831.77,0,0,0,
ACC000286,sme,low_risk,low,2022-12-15,124001.01,5634.23,0,0,0,
ACC000287,corporate,active_ml,low,2018-05-24,2390303.83,216826.48,0,0,0,shell_company
ACC000288,sme,low_risk,low,2019-05-14,56959.28,6278.49,0,0,0,
ACC000289,sme,low_risk,medium,2022-08-07,50211.23,4754.08,0,0,0,
ACC000290,retail,high_risk,high,2013-10-26,20202.28,2457.03,0,0,0,
ACC000291,retail,low_risk,low,2022-05-18,23215.34,1421.45,0,0,0,
ACC000292,sme,low_risk,low,2022-03-31,65853.51,4205.41,0,0,0,
ACC000293,retail,medium_risk,low,2018-12-09,13361.44,1451.26,0,0,0,
ACC000294,retail,low_risk,low,2014-11-02,25986.52,1717.85,0,1,0,
ACC000295,sme,low_risk,low,2022-05-16,128328.14,9995.36,0,0,0,
ACC000296,sme,medium_risk,medium,2020-08-28,109976.83,13347.61,0,0,0,
ACC000297,retail,low_risk,low,2018-05-06,18692.07,1646.7,0,0,0,
ACC000298,sme,low_risk,low,2013-03-24,95052.74,5833.22,0,0,0,
ACC000299,sme,low_risk,low,2015-02-22,72103.81,3342.17,0,0,0,
